stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
500209,"HILLSIDE AV/179 ST",,  40.712393, -73.784555,,,0,
500220,"FARMERS BLVD/JORDAN AV",,  40.701694, -73.765492,,,0,
500222,"FARMERS BLVD/113 AV",,  40.699235, -73.763020,,,0,
500236,"FARMERS BLVD/133 RD",,  40.676427, -73.763501,,,0,
500237,"FARMERS BLVD/GARRETT ST",,  40.674419, -73.763792,,,0,
500241,"FARMERS BLVD/143 RD",,  40.668874, -73.766166,,,0,
500244,"FARMERS BLVD/177 PL",,  40.663576, -73.768960,,,0,
500246,"FARMERS BLVD/175 ST",,  40.661088, -73.771024,,,0,
500247,"FARMERS BLVD/ROCKAWAY BLVD",,  40.659805, -73.773671,,,0,
500251,"HILLSIDE AV/163 ST",,  40.708576, -73.799384,,,0,
500252,"HILLSIDE AV/165 ST",,  40.709150, -73.797439,,,0,
500256,"LIBERTY AV/168 PL",,  40.702673, -73.790146,,,0,
500257,"LIBERTY AV/170 ST",,  40.703355, -73.788445,,,0,
500258,"LIBERTY AV/173 ST",,  40.704458, -73.785042,,,0,
500259,"LIBERTY AV/177 ST",,  40.705340, -73.782662,,,0,
500264,"LIBERTY AV/CAMDEN AV",,  40.704238, -73.770550,,,0,
500266,"LIBERTY AV/HILBURN AV",,  40.703202, -73.767156,,,0,
500271,"MURDOCK AV/194 ST",,  40.698554, -73.760065,,,0,
500272,"MURDOCK AV/196 ST",,  40.699134, -73.757826,,,0,
500283,"COLFAX ST/SPRINGFIELD BLVD",,  40.701788, -73.741346,,,0,
500284,"114 AV/219 ST",,  40.701841, -73.738330,,,0,
500286,"114 AV/223 ST",,  40.701723, -73.734457,,,0,
500289,"227 ST/113 DR",,  40.702262, -73.730337,,,0,
500290,"SPRINGFIELD BLVD/112 RD",,  40.705185, -73.739724,,,0,
500293,"SPRINGFIELD BLVD/107 AV",,  40.710427, -73.737269,,,0,
500294,"SPRINGFIELD BLVD/104 AV",,  40.712382, -73.736136,,,0,
500297,"SPRINGFIELD BLVD/98 AV",,  40.716656, -73.735372,,,0,
500298,"AMBOY LN/JAMAICA AV",,  40.717922, -73.736383,,,0,
500301,"113 DR/223 ST",,  40.702521, -73.734184,,,0,
500303,"113 DR/219 ST",,  40.702629, -73.738078,,,0,
500305,"SPRINGFIELD BLVD/99 AV",,  40.715351, -73.735640,,,0,
500309,"SPRINGFIELD BLVD/107 AV",,  40.710285, -73.737554,,,0,
500312,"SPRINGFIELD BLVD/111 RD",,  40.705687, -73.739754,,,0,
500315,"MURDOCK AV/SPRINGFIELD BLVD",,  40.703532, -73.740957,,,0,
500317,"MURDOCK AV/210 ST",,  40.702475, -73.745451,,,0,
500320,"MURDOCK AV/204 ST",,  40.700874, -73.751529,,,0,
500322,"MURDOCK AV/200 ST",,  40.699935, -73.755099,,,0,
500331,"LIBERTY AV/187 ST",,  40.704228, -73.769919,,,0,
500332,"LIBERTY AV/184 ST",,  40.704935, -73.773174,,,0,
500334,"LIBERTY AV/182 ST",,  40.705676, -73.778128,,,0,
500336,"LIBERTY AV/177 ST",,  40.705371, -73.783023,,,0,
500337,"LIBERTY AV/172 ST",,  40.704255, -73.785980,,,0,
500361,"HILLSIDE AV/PARSONS BLVD",,  40.707647, -73.803232,,,0,
500367,"MERRICK BLVD/107 AV",,  40.699708, -73.788558,,,0,
500369,"MERRICK BLVD/169 PL",,  40.697842, -73.785946,,,0,
500372,"MERRICK BLVD/111 AV",,  40.694133, -73.781357,,,0,
500374,"LINDEN BLVD/172 ST",,  40.691805, -73.778278,,,0,
500376,"LINDEN BLVD/175 PL",,  40.692788, -73.774185,,,0,
500380,"LINDEN BLVD/NEWBURG ST",,  40.692043, -73.765589,,,0,
500382,"LINDEN BLVD/FARMERS BLVD",,  40.691688, -73.761932,,,0,
500384,"LINDEN BLVD/192 ST",,  40.692483, -73.759095,,,0,
500386,"LINDEN BLVD/197 ST",,  40.693652, -73.754851,,,0,
500388,"LINDEN BLVD/201 ST",,  40.694570, -73.751525,,,0,
500390,"LINDEN BLVD/204 ST",,  40.695504, -73.748175,,,0,
500391,"LINDEN BLVD/FRANCIS LEWIS BLVD",,  40.696149, -73.745960,,,0,
500392,"LINDEN BLVD/SPRINGFIELD BLVD",,  40.696027, -73.743194,,,0,
500393,"LINDEN BLVD/219 ST",,  40.695262, -73.740792,,,0,
500394,"LINDEN BLVD/222 ST",,  40.694458, -73.738169,,,0,
500395,"LINDEN BLVD/225 ST",,  40.693610, -73.735523,,,0,
500396,"LINDEN BLVD/228 ST",,  40.692768, -73.732816,,,0,
500397,"LINDEN BLVD/230 ST",,  40.692133, -73.731153,,,0,
500401,"LINDEN BLVD/231 ST",,  40.692210, -73.730994,,,0,
500403,"LINDEN BLVD/228 ST",,  40.693132, -73.733522,,,0,
500404,"LINDEN BLVD/225 ST",,  40.693953, -73.736126,,,0,
500406,"LINDEN BLVD/222 ST",,  40.694888, -73.739126,,,0,
500407,"LINDEN BLVD/219 ST",,  40.695528, -73.741172,,,0,
500408,"LINDEN BLVD/217 ST",,  40.696127, -73.743063,,,0,
500410,"LINDEN BLVD/FRANCIS LEWIS BLVD",,  40.696066, -73.746528,,,0,
500411,"LINDEN BLVD/204 ST",,  40.695565, -73.748420,,,0,
500412,"LINDEN BLVD/201 ST",,  40.694688, -73.751488,,,0,
500414,"LINDEN BLVD/197 ST",,  40.693740, -73.754979,,,0,
500416,"LINDEN BLVD/193 ST",,  40.692659, -73.758964,,,0,
500418,"LINDEN BLVD/FARMERS BLVD",,  40.691764, -73.762858,,,0,
500419,"LINDEN BLVD/NEWBURG ST",,  40.692187, -73.765763,,,0,
500420,"LINDEN BLVD/179 ST",,  40.692591, -73.768585,,,0,
500422,"LINDEN BLVD/176 ST",,  40.693037, -73.773733,,,0,
500430,"MERRICK BLVD/108 AV",,  40.698362, -73.786612,,,0,
500431,"MERRICK BLVD/107 AV",,  40.699655, -73.788148,,,0,
500433,"MERRICK BLVD/LIBERTY AV",,  40.702433, -73.790540,,,0,
500453,"MERRICK BLVD/116 AV",,  40.688047, -73.776466,,,0,
500454,"MERRICK BLVD/FOCH BLVD",,  40.686726, -73.774671,,,0,
500456,"120 AV/IRWIN PL",,  40.684442, -73.768895,,,0,
500458,"120 AV/178 PL",,  40.685348, -73.765346,,,0,
500460,"120 AV/FARMERS BLVD",,  40.686342, -73.761302,,,0,
500461,"120 AV/LUCAS ST",,  40.687390, -73.758410,,,0,
