stop_id,stop_name,stop_desc,stop_lat,stop_lon
552429,"SEAGIRT AV/BEACH 9 ST","SEAGIRT AV & BEACH 9 ST",  40.596020, -73.744171
552430,"BEACH 9 ST /SEAGIRT BLVD","BEACH 9 ST  & SEAGIRT BLVD",  40.596771, -73.744152
552431,"BEACH 9 ST /JARVIS CT","BEACH 9 ST  & JARVIS CT",  40.598078, -73.744491
552434,"SEAGIRT BLVD/BEACH 17 ST","SEAGIRT BLVD & BEACH 17 ST",  40.595319, -73.751469
552435,"SEAGIRT BLVD/BEACH 14 ST","SEAGIRT BLVD & BEACH 14 ST",  40.595446, -73.748441
552436,"BEACH 9 ST /SEAGIRT BLVD","BEACH 9 ST  & SEAGIRT BLVD",  40.596748, -73.744340
552437,"BEACH 9 ST /CAFFERY AV","BEACH 9 ST  & CAFFERY AV",  40.601823, -73.745471
552439,"BEACH 9 ST /CORNAGA AV","BEACH 9 ST  & CORNAGA AV",  40.603245, -73.745835
552440,"CORNAGA AV /ROSE ST","CORNAGA AV  & ROSE ST",  40.603393, -73.746378
552442,"CORNAGA AV /MOTT AV","CORNAGA AV  & MOTT AV",  40.602690, -73.749702
552443,"CORNAGA AV /MOTT AV","CORNAGA AV  & MOTT AV",  40.602666, -73.749209
552445,"MOTT AV /CENTRAL AV","MOTT AV  & CENTRAL AV",  40.604270, -73.752724
552446,"MOTT AV /REDFERN AV","MOTT AV  & REDFERN AV",  40.605156, -73.754590
552448,"BEACH CHANNEL DR /NAMEOKE ST","BEACH CHANNEL DR  & NAMEOKE ST",  40.608053, -73.754054
552449,"BEACH CHANNEL DR /HASSOCK ST","BEACH CHANNEL DR  & HASSOCK ST",  40.609692, -73.753579
552450,"BEACH CHANNEL DR /HORTON AV","BEACH CHANNEL DR  & HORTON AV",  40.609636, -73.753780
552453,"BAYVIEW AV /SHERIDAN BLVD","BAYVIEW AV  & SHERIDAN BLVD",  40.614414, -73.752467
552456,"BAYVIEW AV /DOUGHTY BLVD","BAYVIEW AV  & DOUGHTY BLVD",  40.613919, -73.746119
552457,"BAYVIEW AV /DOUGHTY BLVD","BAYVIEW AV  & DOUGHTY BLVD",  40.614053, -73.746301
552463,"MOTT AV /LAWRENCE AV","MOTT AV  & LAWRENCE AV",  40.618313, -73.737100
552464,"MOTT AV /LAWRENCE AV","MOTT AV  & LAWRENCE AV",  40.618445, -73.737178
552466,"MOTT AV /ROCKAWAY TPKE","MOTT AV  & ROCKAWAY TPKE",  40.619470, -73.732359
552467,"MOTT AV /ROCKAWAY TPKE","MOTT AV  & ROCKAWAY TPKE",  40.619561, -73.732591
552470,"ROCKAWAY TPKE /W BROADWAY","ROCKAWAY TPKE  & W BROADWAY",  40.623800, -73.734838
552472,"ROCKAWAY TPKE/PENINSULA BLVD","ROCKAWAY TPKE & PENINSULA BLVD",  40.628405, -73.737110
552473,"ROCKAWAY TPKE/PENINSULA BLVD","ROCKAWAY TPKE & PENINSULA BLVD",  40.628244, -73.737261
552474,"ROCKAWAY TPKE/REYEM DR","ROCKAWAY TPKE & REYEM DR",  40.632146, -73.738579
552475,"ROCKAWAY TPKE/5 TOWNS SHOPPING CENTER","ROCKAWAY TPKE & 5 TOWNS SHOPPING CENTER",  40.637483, -73.740657
552481,"ROCKAWAY BLVD/BROOKVILLE BLVD","ROCKAWAY BLVD & BROOKVILLE BLVD",  40.639732, -73.742669
552482,"ROCKAWAY BLVD/MEYER AV","ROCKAWAY BLVD & MEYER AV",  40.635897, -73.740393
552483,"ROCKAWAY TPKE/COSTCO","ROCKAWAY TPKE & COSTCO",  40.632068, -73.738916
552485,"ROCKAWAY TPKE /BURNSIDE AV","ROCKAWAY TPKE  & BURNSIDE AV",  40.624029, -73.735201
552496,"SHERIDAN BLVD/BAYVIEW AV","SHERIDAN BLVD & BAYVIEW AV",  40.614363, -73.752793
552500,"MOTT AV /BEACH 20 ST","MOTT AV  & BEACH 20 ST",  40.604060, -73.752675
552501,"BEACH 9 ST /MEEHAM AV","BEACH 9 ST  & MEEHAM AV",  40.598012, -73.744666
552502,"SEAGIRT BLVD/BEACH 20 ST","SEAGIRT BLVD & BEACH 20 ST",  40.595383, -73.754744
552503,"WHITESTONE EXPWY/LINDEN PL","WHITESTONE EXPWY & LINDEN PL",  40.771582, -73.833747
552504,"WHITESTONE EXPWY/LINDEN PL","WHITESTONE EXPWY & LINDEN PL",  40.771091, -73.832982
552505,"WHITESTONE EXPWY/20 AV","WHITESTONE EXPWY & 20 AV",  40.781917, -73.824456
552506,"WHITESTONE EXPWY/20 AV","WHITESTONE EXPWY & 20 AV",  40.781506, -73.825903
552515,"NORTHERN BLVD/89 ST","NORTHERN BLVD & 89 ST",  40.756159, -73.878651
552520,"UNION TPKE/UTOPIA PKWY","UNION TPKE & UTOPIA PKWY",  40.725883, -73.792082
552547,"DITMARS BLVD/37 ST","DITMARS BLVD & 37 ST",  40.774027, -73.907583
552548,"160 ST/CROSS ISLAND PKWY","160 ST & CROSS ISLAND PKWY",  40.786683, -73.802335
552549,"166 ST/9 AV","166 ST & 9 AV",  40.792861, -73.797760
552550,"176 ST/137 AV","176 ST & 137 AV",  40.673537, -73.765320
552553,"18 AV/212 ST","18 AV & 212 ST",  40.783026, -73.779752
552663,"23 AV/CORPORAL KENNEDY ST","23 AV & CORPORAL KENNEDY ST",  40.778946, -73.782680
552664,"212 ST/15 AV","212 ST & 15 AV",  40.785585, -73.781514
552665,"212 ST/15 AV","212 ST & 15 AV",  40.785408, -73.781506
552667,"26 AV/203 ST","26 AV & 203 ST",  40.774905, -73.788703
552668,"26 AV/204 ST","26 AV & 204 ST",  40.775122, -73.788469
552671,"31 RD/138 ST","31 RD & 138 ST",  40.770208, -73.830735
552672,"57 AV/99 ST","57 AV & 99 ST",  40.738386, -73.860313
552678,"69 RD/108 ST","69 RD & 108 ST",  40.724338, -73.845425
552679,"69 RD/QUEENS BLVD","69 RD & QUEENS BLVD",  40.723573, -73.847980
552704,"CENTRAL AV/VIRGINIA ST","CENTRAL AV & VIRGINIA ST",  40.609597, -73.745651
552705,"CENTRAL AV/VIRGINIA ST","CENTRAL AV & VIRGINIA ST",  40.609773, -73.745536
552708,"CORNAGA AV/BEACH 20 ST","CORNAGA AV & BEACH 20 ST",  40.602353, -73.753546
552709,"CROSS ISLAND PKWY/160 ST","CROSS ISLAND PKWY & 160 ST",  40.786587, -73.802635
552806,"HOYT AV/23 ST","HOYT AV & 23 ST",  40.774724, -73.922345
552807,"HOYT AV/CRESCENT ST","HOYT AV & CRESCENT ST",  40.773590, -73.921060
552821,"JEWEL AV/QUEENS BLVD","JEWEL AV & QUEENS BLVD",  40.723039, -73.846708
552822,"KEW GARDENS RD/MOWBRAY ST","KEW GARDENS RD & MOWBRAY ST",  40.710985, -73.828282
552825,"LAKEVILLE RD/L I JEWISH HOSPITAL","LAKEVILLE RD & L I JEWISH HOSPITAL",  40.755574, -73.704028
552832,"LINDEN PL/WHITESTONE EXPWY","LINDEN PL & WHITESTONE EXPWY",  40.772111, -73.833642
552838,"28 AV/ULMER ST","28 AV & ULMER ST",  40.772893, -73.837008
552896,"NORTH SHORE TOWERS/BUILDING ENTRANCE","NORTH SHORE TOWERS & BUILDING ENTRANCE",  40.757221, -73.714879
552907,"POWELLS COVE BLVD/162 ST","POWELLS COVE BLVD & 162 ST",  40.794091, -73.799397
552908,"ROCKAWAY BEACH BLVD/BEACH 147 ST","ROCKAWAY BEACH BLVD & BEACH 147 ST",  40.570000, -73.862123
552909,"ROCKAWAY BLVD/134 AV","ROCKAWAY BLVD & 134 AV",  40.670264, -73.783107
552924,"WHITESTONE EXPWY/14 AV","WHITESTONE EXPWY & 14 AV",  40.786748, -73.823421
552925,"WHITESTONE EXPWY/14 AV","WHITESTONE EXPWY & 14 AV",  40.786603, -73.824590
552926,"WHITESTONE EXPWY/25 RD","WHITESTONE EXPWY & 25 RD",  40.775934, -73.827706
552927,"WILLETS POINT BLVD/154 ST","WILLETS POINT BLVD & 154 ST",  40.778251, -73.809050
552928,"WILLETS POINT BLVD/154 ST","WILLETS POINT BLVD & 154 ST",  40.778049, -73.809278
552931,"WILLETS POINT BLVD/FRANCIS LEWIS BLVD","WILLETS POINT BLVD & FRANCIS LEWIS BLVD",  40.780410, -73.802414
552932,"YELLOWSTONE BLVD/62 RD","YELLOWSTONE BLVD & 62 RD",  40.735532, -73.853637
552933,"YELLOWSTONE BLVD/63 DR","YELLOWSTONE BLVD & 63 DR",  40.732830, -73.852240
552934,"YELLOWSTONE BLVD/64 RD","YELLOWSTONE BLVD & 64 RD",  40.731760, -73.851483
552935,"YELLOWSTONE BLVD/65 AV","YELLOWSTONE BLVD & 65 AV",  40.730829, -73.851192
552936,"YELLOWSTONE BLVD/67 AV","YELLOWSTONE BLVD & 67 AV",  40.728622, -73.849109
552937,"YELLOWSTONE BLVD/67 AV","YELLOWSTONE BLVD & 67 AV",  40.728357, -73.849337
552938,"YELLOWSTONE BLVD/68 AV","YELLOWSTONE BLVD & 68 AV",  40.726530, -73.848481
552939,"YELLOWSTONE BLVD/68 AV","YELLOWSTONE BLVD & 68 AV",  40.726267, -73.848583
552941,"YELLOWSTONE BLVD/69 AV","YELLOWSTONE BLVD & 69 AV",  40.724753, -73.846839
552942,"YELLOWSTONE BLVD/69 AV","YELLOWSTONE BLVD & 69 AV",  40.724473, -73.846919
552944,"YELLOWSTONE BLVD/BURNS ST","YELLOWSTONE BLVD & BURNS ST",  40.722046, -73.853708
552945,"YELLOWSTONE BLVD/CLYDE ST","YELLOWSTONE BLVD & CLYDE ST",  40.721653, -73.854264
552946,"YELLOWSTONE BLVD/GERARD PL","YELLOWSTONE BLVD & GERARD PL",  40.722540, -73.849306
552949,"YELLOWSTONE BLVD/JUNO ST","YELLOWSTONE BLVD & JUNO ST",  40.716971, -73.857362
552950,"YELLOWSTONE BLVD/KESSEL ST","YELLOWSTONE BLVD & KESSEL ST",  40.716594, -73.857866
552951,"YELLOWSTONE BLVD/QUEENS BLVD","YELLOWSTONE BLVD & QUEENS BLVD",  40.722874, -73.848246
552952,"58 ST/37 AV","58 ST & 37 AV",  40.750238, -73.904155
552953,"92 ST/31 AV","92 ST & 31 AV",  40.760111, -73.876841
552954,"21 ST/31 AV","21 ST & 31 AV",  40.767282, -73.930056
552956,"DITMARS BLVD/21 ST","DITMARS BLVD & 21 ST",  40.780451, -73.916632
552958,"BROADWAY/78 ST","BROADWAY & 78 ST",  40.744691, -73.886814
552960,"NEWPORT AV/BEACH 118 ST","NEWPORT AV & BEACH 118 ST",  40.580934, -73.840114
552961,"ROCKAWAY BEACH BLVD/BEACH 149 ST","ROCKAWAY BEACH BLVD & BEACH 149 ST",  40.569351, -73.864672
552963,"DITMARS BLVD/77 ST","DITMARS BLVD & 77 ST",  40.768610, -73.892268
552965,"COLLEGE POINT BLVD/123 ST","COLLEGE POINT BLVD & 123 ST",  40.772813, -73.845531
552966,"63 RD/QUEENS BLVD","63 RD & QUEENS BLVD",  40.730374, -73.861951
552968,"48 ST/NORTHERN BLVD","48 ST & NORTHERN BLVD",  40.752399, -73.915106
552970,"CROSS BAY BLVD/DOXEY PL","CROSS BAY BLVD & DOXEY PL",  40.674934, -73.843440
552972,"DITMARS BLVD/72 ST","DITMARS BLVD & 72 ST",  40.768232, -73.897339
552979,"COLLEGE POINT BLVD/WHITESTONE EXPWY","COLLEGE POINT BLVD & WHITESTONE EXPWY",  40.766918, -73.839365
552981,"NORTHERN BLVD/126 PL","NORTHERN BLVD & 126 PL",  40.761148, -73.844635
552982,"COHANCY ST /99 PL","COHANCY ST  & 99 PL",  40.669046, -73.834861
552983,"ROCKAWAY BLVD/144 RD","ROCKAWAY BLVD & 144 RD",  40.664854, -73.778029
552984,"BELL BLVD/23 AV","BELL BLVD & 23 AV",  40.782513, -73.776698
552985,"27 AV/4 ST","27 AV & 4 ST",  40.774783, -73.933235
552986,"27 AV/4 ST","27 AV & 4 ST",  40.774566, -73.933253
552987,"8 ST/ASTORIA BLVD","8 ST & ASTORIA BLVD",  40.772927, -73.932745
552988,"8 ST/ASTORIA BLVD","8 ST & ASTORIA BLVD",  40.772809, -73.932546
552989,"8 ST/27 AV","8 ST & 27 AV",  40.774127, -73.931799
552991,"FRESH POND RD/ELIOT AV","FRESH POND RD & ELIOT AV",  40.713870, -73.901086
552992,"CROSS BAY BLVD/157 AV","CROSS BAY BLVD & 157 AV",  40.662229, -73.840796
552993,"HOFFMAN DR/WOODHAVEN BLVD","HOFFMAN DR & WOODHAVEN BLVD",  40.733152, -73.871078
552997,"BEACH CHANNEL DR/BEACH 51 ST","BEACH CHANNEL DR & BEACH 51 ST",  40.595397, -73.781487
552998,"ROCKAWAY BEACH BLVD/BEACH 115 ST","ROCKAWAY BEACH BLVD & BEACH 115 ST",  40.579938, -73.836457
552999,"74 ST - ROOSEVELT AV TERMINAL/Q49 STOP","74 ST - ROOSEVELT AV TERMINAL & Q49 STOP",  40.746588, -73.890747
553010,"JAMAICA AV/172 ST","JAMAICA AV & 172 ST",  40.707596, -73.787658
553013,"BROADWAY/75 ST","BROADWAY & 75 ST",  40.746212, -73.890103
553014,"BROADWAY/75 ST","BROADWAY & 75 ST",  40.746085, -73.890091
553024,"NORTHERN BLVD/BROADWAY","NORTHERN BLVD & BROADWAY",  40.753394, -73.907383
553025,"89 ST/31 AV","89 ST & 31 AV",  40.760127, -73.879418
553026,"21 ST/24 AV","21 ST & 24 AV",  40.776686, -73.921304
553027,"CROSS BAY BLVD/E 16 RD","CROSS BAY BLVD & E 16 RD",  40.601521, -73.820088
553028,"21 ST/HOYT AV N","21 ST & HOYT AV N",  40.775473, -73.922815
553029,"ROCKAWAY BEACH BLVD/BEACH 102 ST","ROCKAWAY BEACH BLVD & BEACH 102 ST",  40.583863, -73.823565
553031,"BEACH CHANNEL DR/BEACH 44 ST","BEACH CHANNEL DR & BEACH 44 ST",  40.595768, -73.775893
553034,"QUEENS PLAZA SOUTH/27 ST","QUEENS PLAZA SOUTH & 27 ST",  40.750051, -73.939524
553036,"JAMAICA AV /160 ST","JAMAICA AV  & 160 ST",  40.703657, -73.799181
553037,"QUEENS BLVD/IRELAND ST","QUEENS BLVD & IRELAND ST",  40.738210, -73.886248
553038,"JAMAICA AV/198 ST","JAMAICA AV & 198 ST",  40.713617, -73.760840
553039,"65 PL/LAUREL HILL BLVD","65 PL & LAUREL HILL BLVD",  40.740263, -73.899770
553040,"21 ST/BROADWAY","21 ST & BROADWAY",  40.765445, -73.931388
553042,"164 ST/PIDGEON MEADOW ROAD","164 ST & PIDGEON MEADOW ROAD",  40.750758, -73.803001
553044,"109 AV/ROCKAWAY BLVD","109 AV & ROCKAWAY BLVD",  40.678914, -73.833802
553045,"109 AV/110 ST","109 AV & 110 ST",  40.679956, -73.830090
